Input,Output
"Hammer, holy element, epic",FaithFury
"Orb, shadow element, ancient",Ancient Blade of Mire
"Dagger, ice element, uncommon",The Reaver
"Mace, arcane element, uncommon",Mana of the Hammer
"Shield, light element, legendary",HaloStaff
"Hammer, wind element, uncommon",WhirlAegis of Grace
"Crossbow, shadow element, rare",DuskBreaker
"Crossbow, arcane element, common",Common Breaker of Gale
"Bow, holy element, uncommon",The Whisper
"Crossbow, holy element, rare",Faith of the Fury of Blessed
"Staff, ice element, common",Chill of the Hammer
"Wand, toxic element, epic",Toxic of the Aegis of Terra
"Axe, ice element, epic",The Cutter of Deep
"Axe, arcane element, epic",Epic Wand
"Scythe, blood element, common",The Cutter
"Hammer, toxic element, ancient",Blight-Lance
"Bow, light element, ancient",Sun-Cutter
"Spear, arcane element, epic",Epic Whisper
"Sword, earth element, mythic",Mythic Wand of Bolt
"Spear, wind element, legendary",ZephyrLance of Aqua
"Dagger, light element, ancient",The Breaker of Decay
"Sword, holy element, legendary",Blessed of the Aegis of Grace
"Dagger, shadow element, mythic",The Whisper of Null
"Orb, wind element, rare",Zephyr-Aegis of Ember
"Whip, wind element, ancient",Ancient Kris of Rune
"Crossbow, ice element, legendary",SnowMaul
"Bow, water element, legendary",AquaLance
"Scythe, toxic element, ancient",CorruptTalon
"Dagger, lightning element, mythic",VoltStaff
"Staff, void element, legendary",The Fury of Shade
"Whip, arcane element",Mystic-Reaver of Whirl
"Spear, storm element, common",Common Slicer
"Whip, wind element, rare",Rare Scythe
"Wand, fire element",Inferno-Spire
"Spear, light element, common",Halo of the Blade
"Dagger, poison element, legendary",The Lance
"Gauntlet, lightning element, mythic",Mythic Reaver of Sanguine
"Axe, earth element, mythic",Boulder-Talon
"Gauntlet, wind element, common",Storm-Scythe of Halo
"Wand, blood element, rare",Rare Hammer
"Bow, wind element, uncommon",ZephyrShard of Hemorrhage
"Bow, lightning element, epic",BoltKris
"Spear, blood element, common",PulseStaff
"Gauntlet, earth element, mythic",Quake of the Hammer
"Scythe, toxic element, uncommon",Blight-Wand
"Whip, fire element, mythic",The Whisper
"Gauntlet, arcane element, ancient",The Wand
"Mace, ice element, epic",Glacier of the Talon
"Scythe, void element",Null-Talon
"Axe, void element",Dark-Cutter
"Gauntlet, wind element, epic",The Glaive
"Scythe, blood element, common",The Slicer of Plague
"Bow, arcane element, rare",Spell of the Lance of Spark
"Orb, earth element, ancient",Ancient Scythe of Storm
"Staff, shadow element, common",Umbral of the Warden of Spell
"Orb, void element, rare",Abyss of the Wand of Decay
"Bow, poison element, epic",Fang of the Maul
"Shield, blood element, ancient",Sanguine-Staff
"Shield, water element, uncommon",Deep-Staff of Void
"Sword, earth element, common",StoneWand of Bolt
"Wand, storm element, uncommon",Storm of the Lance
"Bow, void element, epic",Epic Staff
"Sword, fire element, common",Common Slicer of Radiant
"Gauntlet, lightning element, mythic",Mythic Warden of Blessed
"Wand, fire element, mythic",The Scythe of Storm
"Mace, void element, epic",Blackhole of the Cutter
"Bow, arcane element, ancient",Mystic-Breaker of Breeze
"Wand, fire element",Inferno-Scythe of Quake
"Whip, arcane element, mythic",The Edge of Mana
"Dagger, lightning element, ancient",Ancient Whisper
"Axe, void element",Dark-Scythe of Halo
"Whip, lightning element, mythic",The Cutter
"Staff, void element, mythic",BlackholeShard of Rain
"Orb, lightning element, legendary",Spark-Reaver of Wave
"Mace, shadow element, common",GloomFang
"Wand, earth element, mythic",TerraScythe
"Shield, light element, uncommon",Radiant-Claw
"Whip, light element, common",LuminousShard of Breeze
"Wand, light element, ancient",The Whisper
"Bow, poison element, epic",Fang of the Blade
"Orb, shadow element, legendary",Legendary Spire
"Staff, lightning element, mythic",The Cutter
"Whip, arcane element",Mystic-Reaver
"Spear, storm element, legendary",Rain of the Wand
"Mace, shadow element, rare",Night of the Cutter of Gloom
"Staff, toxic element, mythic",Blight of the Lance
"Mace, shadow element, rare",Night of the Fury of Storm
"Wand, light element, common",Luminous of the Glaive
"Spear, shadow element, legendary",Dusk-Edge of Aqua
"Axe, arcane element, mythic",The Fang
"Whip, ice element, epic",Epic Staff
"Spear, toxic element, mythic",Blight of the Wand
"Bow, water element, rare",FloodFury
"Mace, poison element, epic",Plague of the Kris
"Staff, shadow element, legendary",Legendary Shard of Shade
"Spear, void element, legendary",Legendary Slicer of Sacred
"Whip, fire element, ancient",The Glaive of Ember
"Scythe, wind element, legendary",BreezeCutter
"Sword, earth element, common",StoneCutter
"Scythe, fire element, common",Blaze-Blade of Glacier
"Shield, light element, uncommon",Radiant-Blade
"Wand, wind element, rare",The Claw
"Sword, toxic element, uncommon",Toxic of the Shard
"Axe, water element, rare",Wave of the Cutter of Zephyr
"Staff, shadow element, legendary",Legendary Whisper
"Hammer, ice element, legendary",Snow-Shard of Venom
"Spear, shadow element, epic",The Cutter
"Axe, fire element, uncommon",FlameScythe of Venom
"Staff, shadow element, legendary",Legendary Reaver of Whirl
"Mace, light element, legendary",The Slicer of Sacred
"Bow, wind element, uncommon",ZephyrWand of Acid
"Whip, shadow element, rare",Shade-Reaver
"Spear, arcane element, mythic",Arcana-Cutter of Squall
"Orb, wind element, common",The Breaker of Tide
"Dagger, toxic element, uncommon",The Slicer of Radiant
"Hammer, toxic element",Mire-Shard of Mire
"Whip, lightning element, rare",Thunder of the Claw of Terra
"Scythe, toxic element",Toxic-Talon of Flame
"Sword, fire element, common",Common Spire of Shock
"Axe, fire element, uncommon",FlameEdge
"Whip, shadow element, ancient",NightBlade
"Sword, holy element, rare",Rare Wand of Acid
"Scythe, wind element, legendary",BreezeBreaker of Mana
"Crossbow, water element, rare",Rare Claw
"Mace, ice element, epic",Glacier of the Slicer of Pulse
"Wand, shadow element, common",Gloom of the Slicer
"Orb, water element, rare",Tide of the Aegis
"Hammer, ice element",Glacier-Spire of Mystic
"Staff, light element, ancient",The Fury of Shade
"Crossbow, void element, epic",Void of the Staff
"Orb, lightning element, mythic",Mythic Kris
"Bow, storm element, uncommon",StormSlicer
"Spear, blood element, legendary",Sanguine-Aegis
"Shield, arcane element, mythic",Mythic Shard
"Whip, poison element, mythic",FangReaver
"Dagger, arcane element, epic",The Scythe of Sanguine
"Staff, ice element, uncommon",The Lance
"Scythe, toxic element, epic",The Scythe
"Dagger, ice element, ancient",ChillAegis
"Mace, light element, legendary",The Lance
"Wand, blood element, rare",Rare Breaker of Blaze
"Staff, lightning element, common",Volt of the Maul of Toxic
"Spear, poison element, rare",The Scythe of Quake
"Axe, holy element, legendary",Legendary Spire of Shock
"Axe, light element, uncommon",RadiantWarden
"Scythe, wind element, uncommon",Zephyr-Maul
"Dagger, wind element, uncommon",Storm of the Claw of Blight
"Spear, toxic element, epic",Corrupt-Slicer
"Wand, earth element",Terra-Warden
"Dagger, holy element, mythic",Blessed-Scythe of Hemorrhage
"Scythe, shadow element, legendary",Umbral-Wand
"Scythe, void element, common",The Reaver of Wave
"Shield, poison element, common",Plague of the Talon of Dusk
"Mace, blood element, legendary",Hemorrhage-Glaive of Ember
"Mace, shadow element, rare",Night of the Fang of Aqua
"Mace, arcane element, ancient",Ancient Fang of Corrupt
"Wand, wind element, rare",The Lance
"Shield, poison element, epic",AcidReaver
"Crossbow, arcane element, uncommon",Uncommon Whisper
"Wand, shadow element, common",Gloom of the Spire
"Axe, shadow element, epic",The Fury of Storm
"Scythe, ice element, common",Common Warden
"Orb, holy element, common",DivineBreaker
"Sword, storm element, epic",Tempest of the Aegis
"Mace, storm element, mythic",Storm-Spire of Blaze
"Bow, ice element, common",Ice of the Slicer
"Sword, poison element, rare",Toxic of the Blade
"Hammer, ice element, legendary",Snow-Edge
"Gauntlet, ice element, legendary",The Reaver
"Shield, void element, rare",Dark of the Breaker of Decay
"Whip, ice element",Ice-Staff of Void
"Whip, poison element, mythic",FangGlaive
"Staff, earth element, legendary",Stone of the Reaver
"Staff, void element, legendary",The Reaver of Night
"Mace, fire element, mythic",Mythic Kris
"Wand, light element, ancient",The Spire of Blessed
"Shield, water element, mythic",Tide-Whisper
"Scythe, toxic element, epic",The Breaker of Blight
"Bow, void element, ancient",Null of the Fury
"Whip, storm element, ancient",The Lance of Toxic
"Gauntlet, lightning element, epic",Thunder of the Kris
"Wand, fire element",Inferno-Reaver
"Mace, ice element, uncommon",Uncommon Staff of Void
"Mace, arcane element, ancient",Ancient Maul
"Wand, earth element, uncommon",Terra-Scythe
"Orb, lightning element, common",The Wand
"Orb, wind element, common",The Cutter of Gloom
"Bow, toxic element, legendary",Legendary Slicer
"Whip, arcane element, rare",Mystic-Wand
"Wand, holy element, uncommon",Divine of the Edge of Fang
"Hammer, ice element, epic",The Breaker of Toxic
"Scythe, water element, legendary",Deep-Staff
"Shield, water element, legendary",Aqua of the Edge of Faith
"Orb, arcane element, common",ArcanaStaff
"Wand, ice element, rare",IceCutter
"Bow, holy element, epic",Grace-Claw
"Whip, water element, rare",Deep of the Slicer of Sacred
"Orb, toxic element, common",The Fury of Shock
"Wand, holy element, mythic",Mythic Fury
"Crossbow, toxic element, epic",Epic Breaker of Spark
"Wand, blood element, common",Pulse-Hammer
"Scythe, shadow element, rare",The Wand
"Staff, holy element, epic",Sacred of the Cutter of Rain
"Whip, holy element, uncommon",Blessed-Lance
"Shield, poison element, common",Plague of the Reaver
"Crossbow, wind element, common",Common Reaver
"Gauntlet, poison element, uncommon",Uncommon Glaive
"Gauntlet, shadow element, ancient",Shade-Slicer of Deep
"Sword, light element, ancient",Aurora of the Breaker of Bolt
"Staff, void element, ancient",Abyss-Scythe
"Orb, holy element, rare",The Breaker of Blight
"Sword, blood element, uncommon",Uncommon Glaive of Gloom
"Dagger, storm element, rare",Cloud of the Lance of Mana
"Gauntlet, earth element",Terra-Scythe of Quake
"Crossbow, shadow element, ancient",DuskKris of Grace
"Scythe, lightning element, ancient",Thunder-Shard of Decay
"Crossbow, arcane element, uncommon",Uncommon Hammer
"Dagger, holy element, common",SacredClaw
"Staff, shadow element, uncommon",The Fury of Shock
"Spear, water element, ancient",The Staff
"Wand, ice element, ancient",The Warden of Decay
"Spear, shadow element, mythic",Night-Reaver of Sanguine
"Shield, poison element, common",Plague of the Blade
"Whip, light element, common",LuminousFang of Corrupt
"Gauntlet, ice element, legendary",The Aegis
"Staff, light element, ancient",The Claw
"Bow, ice element, common",Ice of the Aegis
"Orb, blood element, epic",Epic Cutter of Deep
"Shield, arcane element, common",ManaTalon
"Crossbow, arcane element, common",Common Hammer of Decay
"Hammer, toxic element",Mire-Lance
"Crossbow, toxic element, epic",Epic Claw
"Shield, toxic element, mythic",Corrupt of the Reaver of Void
"Staff, holy element, common",Faith of the Lance
"Scythe, water element, common",Deep-Shard
"Shield, arcane element, mythic",Mythic Slicer
"Scythe, earth element, uncommon",The Whisper
"Spear, water element, common",Flood of the Cutter of Rain
"Wand, earth element, common",The Maul
"Bow, water element, ancient",FloodBreaker of Squall
"Bow, storm element, mythic",StormEdge of Boulder
"Mace, arcane element, legendary",Mana of the Scythe of Quake
"Wand, storm element, uncommon",Storm of the Staff
"Dagger, poison element, rare",The Wand
"Mace, void element, epic",Blackhole of the Shard of Shade
"Dagger, water element, rare",WaveSlicer of Plague
"Crossbow, water element, ancient",The Spire of Glacier
"Staff, holy element, common",Faith of the Hammer of Spell
"Spear, holy element, mythic",The Fury
"Sword, holy element, mythic",The Shard of Mire
"Crossbow, earth element, ancient",Ancient Lance of Mana
"Crossbow, ice element, rare",Glacier of the Scythe of Quake
"Staff, blood element, ancient",Ancient Shard
"Spear, storm element, legendary",Rain of the Lance of Aqua
"Hammer, toxic element, mythic",Mythic Reaver of Gloom
"Orb, void element",Abyss-Claw of Terra
"Spear, water element, ancient",The Fang of Aqua
"Sword, lightning element, legendary",Bolt-Staff
"Gauntlet, earth element, common",The Hammer
"Gauntlet, arcane element, ancient",The Fury
"Shield, water element, uncommon",Deep-Scythe
"Crossbow, wind element, ancient",Whirl of the Aegis
"Dagger, blood element",Crimson-Maul
"Dagger, ice element, legendary",Glacier-Fury
"Gauntlet, fire element, ancient",Ancient Cutter
"Wand, storm element, uncommon",Storm of the Lance of Spark
"Orb, ice element, uncommon",Uncommon Blade of Snow
"Sword, blood element, rare",Sanguine of the Edge
"Whip, poison element, mythic",FangKris of Cloud
"Shield, void element, rare",Dark of the Aegis
"Whip, poison element, uncommon",ToxicBreaker
"Staff, lightning element, mythic",The Aegis
"Axe, void element",Dark-Kris
"Scythe, shadow element, legendary",Umbral-Fury of Shock
"Orb, toxic element, ancient",Ancient Slicer
"Axe, wind element, common",The Cutter of Toxic
"Staff, blood element, mythic",PulseWhisper
"Shield, poison element, common",Plague of the Reaver of Void
"Bow, ice element, rare",Frost of the Breaker
"Whip, holy element, ancient",Ancient Aegis of Corrupt
"Hammer, ice element",Glacier-Fang
"Orb, void element",Abyss-Kris
"Dagger, toxic element, ancient",Mire of the Aegis
"Shield, water element, mythic",Tide-Claw of Gale
"Scythe, arcane element, rare",Spell-Fury of Shade
"Axe, fire element, rare",The Cutter of Squall
"Sword, blood element, rare",Sanguine of the Aegis
"Mace, wind element, legendary",Legendary Warden
"Crossbow, toxic element, mythic",Mythic Shard of Decay
"Hammer, toxic element, rare",Blight-Kris of Rune
"Hammer, blood element, legendary",Crimson of the Fang of Corrupt
"Wand, storm element, ancient",StormCutter of Blaze
"Hammer, toxic element",Mire-Kris
"Whip, void element, legendary",Legendary Aegis of Terra
"Gauntlet, shadow element, ancient",Shade-Glaive
"Shield, holy element, uncommon",The Spire of Pyro
"Axe, toxic element, legendary",Blight-Aegis of Ember
"Gauntlet, void element",Null-Spire
"Whip, fire element, mythic",The Spire of Pyro
"Staff, lightning element, mythic",The Talon
"Shield, arcane element, mythic",Mythic Breaker of Snow
"Dagger, blood element",Crimson-Kris
"Scythe, light element, uncommon",HaloWhisper
"Shield, shadow element, epic",The Hammer of Flood
"Dagger, poison element, legendary",The Fang of Corrupt
"Spear, toxic element, mythic",Blight of the Cutter
"Spear, void element, mythic",The Reaver
"Scythe, lightning element, ancient",Thunder-Shard
"Sword, light element, ancient",Aurora of the Whisper of Whirl
"Hammer, holy element, epic",FaithSlicer
"Spear, shadow element",Gloom-Glaive
"Bow, fire element, epic",The Reaver
"Shield, wind element, ancient",The Blade
"Scythe, shadow element, legendary",Umbral-Fury
"Whip, wind element, mythic",The Talon of Shock
"Dagger, toxic element, ancient",Mire of the Fury
"Gauntlet, void element",Null-Maul
"Spear, blood element, common",PulseBreaker of Blaze
"Sword, earth element, mythic",Mythic Edge of Aqua
"Whip, shadow element, rare",Shade-Scythe
"Scythe, blood element, common",The Reaver
"Bow, wind element, common",Common Warden of Faith
"Sword, lightning element, legendary",Bolt-Kris
"Gauntlet, earth element, mythic",Quake of the Cutter of Zephyr
"Spear, toxic element, mythic",Blight of the Cutter of Spark
"Staff, light element, uncommon",SunCutter of Toxic
"Wand, earth element, ancient",Ancient Lance
"Spear, ice element, epic",Epic Breaker of Snow
"Scythe, wind element, legendary",BreezeSlicer
"Axe, shadow element, rare",The Scythe of Snow
"Shield, wind element, mythic",Zephyr of the Spire
"Scythe, arcane element, rare",Spell-Spire of Mystic
"Orb, ice element, epic",The Reaver of Divine
"Dagger, lightning element, common",The Reaver of Wave
"Mace, arcane element, uncommon",Mana of the Reaver
"Scythe, blood element, common",The Talon
"Wand, water element, mythic",The Aegis
"Staff, fire element, uncommon",Inferno of the Warden
"Dagger, void element, uncommon",The Wand
"Gauntlet, blood element, common",Common Talon of Bolt
"Bow, light element, epic",SunAegis
"Gauntlet, poison element, uncommon",Uncommon Staff
"Orb, water element, common",WaveReaver of Rune
"Wand, earth element, rare",The Staff of Shade
"Scythe, storm element, rare",Rare Talon
"Crossbow, wind element, ancient",Whirl of the Shard of Boulder
"Spear, shadow element, epic",The Hammer
"Scythe, water element, uncommon",Flood of the Talon
"Dagger, holy element, mythic",Blessed-Scythe
"Whip, arcane element, epic",The Aegis of Ember
"Wand, lightning element, rare",BoltSlicer
"Bow, toxic element, ancient",The Staff of Bolt
"Axe, arcane element, epic",Epic Scythe of Dark
"Gauntlet, shadow element, ancient",Shade-Shard of Shade
"Scythe, poison element, common",PlagueWarden of Blessed
"Bow, water element, legendary",AquaSpire of Inferno
"Scythe, blood element, common",The Slicer
"Wand, toxic element, epic",Toxic of the Scythe of Halo
"Bow, void element, common",The Cutter
"Orb, void element, common",Null-Reaver
"Mace, holy element, common",The Maul
"Staff, earth element, mythic",The Slicer
"Mace, arcane element, uncommon",Mana of the Scythe of Pyro
"Gauntlet, wind element, epic",The Staff of Mystic
"Dagger, toxic element, ancient",Mire of the Scythe of Hemorrhage
"Dagger, toxic element, uncommon",The Spire
"Axe, arcane element, mythic",The Aegis of Whirl
"Dagger, water element, mythic",Mythic Maul
"Orb, arcane element, common",ArcanaReaver
"Dagger, arcane element, common",Mana of the Slicer of Deep
"Whip, fire element, uncommon",The Wand
"Mace, toxic element, legendary",Toxic-Maul
"Gauntlet, ice element, mythic",Chill-Fury of Storm
"Mace, fire element, mythic",Mythic Scythe of Quake
"Bow, blood element, common",Hemorrhage-Maul of Whirl
"Axe, fire element, common",Common Slicer of Deep
"Spear, light element, common",Halo of the Spire
"Scythe, earth element, legendary",Stone-Wand
"Scythe, arcane element, rare",Spell-Staff
"Hammer, toxic element, mythic",Mythic Lance
"Orb, earth element, epic",RootKris
"Shield, arcane element, mythic",Mythic Whisper
"Shield, shadow element, epic",The Staff of Mystic
"Shield, holy element, uncommon",The Wand
"Mace, toxic element, common",The Scythe
"Orb, blood element, epic",Epic Warden of Decay
"Spear, holy element, rare",The Fury of Null
"Bow, toxic element, ancient",The Wand of Blessed
"Staff, shadow element, legendary",Legendary Spire
"Gauntlet, lightning element, epic",Thunder of the Shard of Hemorrhage
"Gauntlet, light element",Halo-Reaver
"Spear, ice element, epic",Epic Aegis
"Mace, arcane element, rare",Arcana of the Talon
"Staff, water element, rare",WaveEdge of Spell
"Spear, poison element, ancient",Acid of the Breaker
"Bow, blood element, common",Hemorrhage-Reaver
"Spear, poison element, rare",The Claw of Radiant
"Bow, wind element, common",Common Fury
"Scythe, storm element, rare",Rare Aegis
"Mace, light element, uncommon",The Reaver
"Whip, fire element, mythic",The Kris of Inferno
"Sword, ice element, ancient",SnowReaver of Blackhole
"Scythe, water element, legendary",Deep-Warden
"Spear, void element, legendary",Legendary Scythe of Pyro
"Dagger, holy element, mythic",Blessed-Reaver
"Staff, shadow element, uncommon",The Edge of Faith
"Staff, shadow element, common",Umbral of the Breaker
"Spear, shadow element, legendary",Dusk-Reaver of Decay
"Staff, lightning element, rare",Rare Warden of Faith
"Sword, storm element, uncommon",Rain of the Lance
"Shield, ice element, legendary",IceMaul
"Mace, light element, uncommon",The Scythe
"Mace, ice element, epic",Glacier of the Shard
"Wand, shadow element, mythic",Gloom-Breaker of Blaze
"Shield, blood element, ancient",Sanguine-Warden
"Scythe, lightning element, rare",SparkEdge
"Whip, void element, common",DarkShard
"Staff, shadow element, legendary",Legendary Cutter of Thunder
"Staff, earth element, legendary",Stone of the Whisper
"Sword, fire element, ancient",BlazeSpire
"Sword, ice element, common",GlacierEdge
"Scythe, lightning element, ancient",Thunder-Edge of Fang
"Orb, light element, rare",Rare Fang of Radiant
"Bow, water element, legendary",AquaScythe of Sanguine
"Hammer, toxic element, ancient",Blight-Scythe
"Orb, void element",Abyss-Talon
"Shield, poison element, common",Plague of the Kris
"Spear, wind element, legendary",ZephyrBlade
"Mace, arcane element, common",Arcana of the Shard
"Sword, wind element, mythic",WhirlScythe
"Staff, lightning element, mythic",The Shard
"Sword, earth element, rare",Quake of the Shard of Rain
"Wand, earth element, mythic",TerraTalon
"Wand, light element, ancient",The Shard of Boulder
"Scythe, toxic element",Toxic-Breaker of Mana
"Wand, earth element, uncommon",Terra-Maul of Toxic
"Whip, arcane element, rare",Mystic-Whisper
"Spear, light element, common",Halo of the Spire of Pyro
"Mace, earth element",Stone-Fury of Storm
"Crossbow, arcane element, uncommon",Uncommon Reaver
"Staff, light element, ancient",The Kris of Deep
"Spear, toxic element, epic",Corrupt-Spire
"Sword, earth element, rare",Quake of the Shard of Shade
"Orb, water element, mythic",Tide-Slicer of Sacred
"Spear, storm element, epic",Rain-Aegis
"Gauntlet, earth element, mythic",Quake of the Reaver
"Whip, void element, common",DarkEdge
"Spear, water element, common",Flood of the Hammer
"Spear, earth element, common",Quake of the Shard
"Crossbow, storm element, uncommon",CloudFury
"Sword, blood element",Sanguine-Fang
"Mace, arcane element, rare",Arcana of the Cutter
"Dagger, arcane element, common",Mana of the Breaker
"Orb, ice element, uncommon",Uncommon Aegis of Whirl
"Wand, toxic element, epic",Toxic of the Kris
"Gauntlet, earth element, common",The Reaver of Rune
"Whip, fire element, ancient",The Maul of Halo
"Orb, void element, ancient",Void-Whisper of Null
"Bow, blood element, epic",Epic Kris of Blight
"Spear, toxic element, mythic",Blight of the Spire
"Hammer, blood element, legendary",Crimson of the Blade of Glacier
"Axe, lightning element, legendary",Legendary Staff
"Axe, storm element, legendary",Storm-Fury of Blessed
"Scythe, water element, legendary",Deep-Claw of Chill
"Sword, wind element, uncommon",Uncommon Kris
"Mace, shadow element, ancient",UmbralAegis of Grace
"Shield, fire element, legendary",Inferno-Edge
"Dagger, wind element, ancient",Breeze of the Maul of Toxic
"Mace, ice element, mythic",Chill of the Shard
"Shield, wind element, mythic",Zephyr of the Scythe
"Bow, lightning element, epic",BoltBlade
"Gauntlet, lightning element, mythic",Mythic Blade
"Orb, holy element, common",DivineFury
"Crossbow, light element, rare",The Slicer of Sacred
"Whip, holy element, legendary",Grace-Edge of Boulder
"Dagger, ice element, ancient",ChillShard
"Hammer, toxic element, mythic",Mythic Kris of Grace
"Crossbow, void element, ancient",AbyssBlade of Abyss
"Wand, blood element, rare",Rare Shard of Night
"Axe, earth element, mythic",Boulder-Breaker
"Scythe, blood element, common",The Scythe of Dusk
"Crossbow, ice element, common",GlacierShard
"Scythe, lightning element, uncommon",The Breaker of Mana
"Spear, storm element, legendary",Rain of the Lance
"Wand, lightning element, uncommon",The Spire
"Orb, ice element, uncommon",Uncommon Maul
"Sword, ice element, legendary",The Scythe of Venom
"Wand, poison element, rare",VenomWand
"Axe, arcane element, uncommon",Rune of the Cutter of Squall
"Wand, water element, epic",Epic Kris of Aqua
"Sword, earth element, rare",Quake of the Wand
"Dagger, toxic element, legendary",Legendary Cutter
"Spear, holy element, rare",The Staff of Radiant
"Shield, ice element, ancient",ChillTalon of Flame
"Crossbow, wind element, rare",Rare Cutter of Flame
"Whip, ice element",Ice-Spire
"Spear, void element, mythic",The Breaker of Snow
"Wand, earth element, mythic",TerraBreaker of Mana
"Crossbow, blood element, mythic",Crimson-Fury
"Hammer, toxic element",Mire-Breaker
"Dagger, lightning element, ancient",Ancient Glaive of Toxic
"Crossbow, shadow element, rare",DuskWarden
"Bow, blood element, mythic",The Whisper
"Spear, poison element, rare",The Wand
"Scythe, void element, uncommon",Blackhole-Maul
"Shield, light element, legendary",HaloAegis of Blackhole
"Gauntlet, shadow element, ancient",Shade-Slicer
"Bow, storm element, mythic",StormWhisper of Void
"Dagger, toxic element, ancient",Mire of the Whisper of Volt
"Mace, light element, legendary",The Blade of Snow
"Bow, poison element, common",Venom-Fury of Null
"Orb, ice element, uncommon",Uncommon Shard
"Whip, ice element",Ice-Maul
"Sword, storm element, uncommon",Rain of the Kris of Blight
"Hammer, ice element, legendary",Snow-Shard
"Gauntlet, ice element, uncommon",Snow of the Cutter of Arcana
"Staff, lightning element, common",Volt of the Shard of Chill
"Orb, void element, common",Null-Cutter of Sanguine
"Scythe, blood element, rare",Pulse-Talon
"Spear, light element, common",Halo of the Breaker of Toxic
"Mace, void element, common",Dark-Fury
"Axe, shadow element, rare",The Staff of Shade
"Spear, shadow element, mythic",Night-Breaker
"Dagger, wind element, ancient",Breeze of the Breaker of Tide
"Scythe, shadow element, rare",The Breaker
"Wand, poison element, uncommon",Uncommon Shard of Shade
"Scythe, shadow element, rare",The Edge
"Bow, blood element, mythic",The Blade of Abyss
"Bow, void element, ancient",Null of the Spire
"Gauntlet, earth element, common",The Shard of Boulder
"Scythe, ice element, common",Common Edge of Boulder
"Bow, toxic element, mythic",Mythic Edge of Aqua
"Spear, wind element, legendary",ZephyrScythe of Dusk
"Dagger, light element, uncommon",The Reaver of Void
"Dagger, lightning element, common",The Kris
"Gauntlet, water element",Wave-Breaker of Glacier
"Mace, holy element, common",The Whisper of Volt
"Whip, holy element, uncommon",Blessed-Kris of Deep
"Staff, fire element, uncommon",Inferno of the Breaker
"Staff, void element, mythic",BlackholeKris of Stone
"Mace, lightning element",Thunder-Claw
"Staff, blood element, ancient",Ancient Breaker of Spark
"Shield, lightning element, ancient",ShockTalon
"Dagger, holy element, uncommon",DivineShard
"Wand, blood element, common",Pulse-Breaker of Glacier
"Crossbow, void element, epic",Void of the Spire
"Hammer, toxic element, rare",Blight-Hammer
"Orb, lightning element, mythic",Mythic Lance
"Crossbow, holy element, rare",Faith of the Maul
"Dagger, void element, uncommon",The Cutter of Blaze
"Spear, water element, common",Flood of the Scythe of Hemorrhage
"Crossbow, wind element, rare",Rare Glaive
"Orb, arcane element, common",ArcanaScythe of Snow
"Crossbow, arcane element, uncommon",Uncommon Aegis
"Hammer, ice element, epic",The Aegis of Abyss
"Wand, lightning element, rare",BoltLance of Aqua
"Axe, lightning element, legendary",Legendary Blade
"Dagger, wind element, common",Breeze of the Scythe
"Wand, earth element, rare",The Whisper
"Orb, storm element, legendary",Legendary Aegis of Grace
"Orb, toxic element, rare",The Spire
"Gauntlet, earth element, mythic",Quake of the Slicer
"Shield, earth element, legendary",Legendary Lance
"Axe, lightning element, legendary",Legendary Kris
"Dagger, holy element, uncommon",DivineMaul
"Dagger, holy element, common",SacredScythe
"Sword, wind element, legendary",Whirl-Shard of Shade
"Whip, wind element, mythic",The Maul
"Staff, ice element, uncommon",The Breaker
"Hammer, light element, uncommon",Sun-Warden of Decay
"Whip, shadow element, rare",Shade-Fury
"Whip, toxic element, common",The Wand
"Staff, light element, rare",Aurora of the Staff of Shade
"Whip, wind element, mythic",The Shard
"Whip, earth element, common",Common Edge
"Gauntlet, void element",Null-Slicer
"Orb, shadow element, legendary",Legendary Warden
"Shield, light element, rare",Sun of the Talon of Flame
"Mace, toxic element, common",The Breaker
"Hammer, shadow element, ancient",The Slicer
"Gauntlet, ice element, uncommon",Snow of the Fang
"Wand, earth element, rare",The Breaker
"Spear, water element, legendary",Legendary Slicer of Sacred
"Gauntlet, lightning element, common",Volt of the Kris of Pyro
"Orb, lightning element, legendary",Spark-Fury
"Spear, storm element, common",Common Lance
"Crossbow, earth element, uncommon",Uncommon Shard
"Wand, shadow element, common",Gloom of the Hammer
"Wand, earth element, mythic",TerraWarden
"Spear, earth element, legendary",Terra of the Kris
"Spear, wind element, ancient",The Wand
"Dagger, water element, epic",The Kris
"Shield, storm element, uncommon",Uncommon Lance
"Gauntlet, water element",Wave-Blade of Snow
"Wand, shadow element, rare",Rare Scythe
"Hammer, blood element, mythic",Sanguine of the Scythe
"Scythe, water element, uncommon",Flood of the Fury
"Bow, toxic element, ancient",The Breaker
"Gauntlet, lightning element, rare",Volt-Spire of Inferno
"Orb, holy element, common",DivineSpire of Snow
"Wand, shadow element, rare",Rare Cutter
"Scythe, toxic element",Toxic-Shard of Venom
"Orb, toxic element, rare",The Fang
"Bow, holy element, uncommon",The Maul
"Mace, arcane element, mythic",Mythic Wand
"Dagger, wind element, ancient",Breeze of the Hammer of Decay
"Sword, toxic element",Mire-Reaver
"Wand, shadow element, rare",Rare Cutter of Rain
"Spear, storm element, common",Common Warden
"Scythe, fire element, common",Blaze-Kris of Ember
"Spear, holy element, common",Faith of the Breaker of Decay
"Whip, void element, legendary",Legendary Maul of Radiant
